City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,urucui,-7.2294,-44.5561,77.0,87,66,3.44,BR,1711157270
262,vila franca do campo,37.7167,-25.4333,64.89,99,73,10.54,PT,1711157271
263,otofuke,42.9917,143.2003,36.55,63,6,1.81,JP,1711157271
264,howrah,22.5892,88.3103,71.6,88,20,3.44,IN,1711157271
265,oranjemund,-28.55,16.4333,63.75,91,99,9.91,NA,1711157271
266,markaz-e hukumat-e darweshan,31.1323,64.1934,68.18,24,95,7.96,AF,1711157467
267,asubulaq,49.5583,83.0558,21.72,78,11,1.92,KZ,1711157468
268,massawa,15.6097,39.45,78.8,85,100,8.39,ER,1711157468
269,heroica guaymas,27.9333,-110.9,82.45,30,20,16.11,MX,1711157393
270,vilyuysk,63.7553,121.6247,-2.0,91,29,5.01,RU,1711157273
271,ilhabela,-23.7781,-45.3581,74.05,82,100,8.03,BR,1711157273
272,springwood,-27.6118,153.129,79.75,72,100,9.98,AU,1711157273
273,walvis bay,-22.9575,14.5053,63.09,88,2,6.4,NA,1711157274
274,dawei,14.0833,98.2,80.62,65,0,2.84,MM,1711157274
275,sayyan,15.1718,44.3244,59.22,71,9,2.62,YE,1711157470
276,nuuk,64.1835,-51.7216,16.41,57,59,2.3,GL,1711157391
277,east london,-33.0153,27.9116,73.02,84,0,21.45,ZA,1711157407
278,mountain home,43.133,-115.6912,64.42,35,0,10.36,US,1711157374
279,catio,11.2833,-15.25,75.6,70,100,10.07,GW,1711157276
280,crane,31.3974,-102.3501,69.58,24,1,16.78,US,1711157472
281,petropavlovsk-kamchatsky,53.0452,158.6483,28.99,77,0,7.0,RU,1711157472
282,coahuayana de hidalgo,18.7,-103.6583,76.21,63,0,3.56,MX,1711157276
283,palpa,-14.5336,-75.1856,76.86,72,100,4.38,PE,1711157277
284,lihue,21.9789,-159.3672,81.64,70,75,17.27,US,1711157473
285,badger,64.8,-147.5333,48.07,34,75,0.0,US,1711157277
286,patong,7.8961,98.2966,84.34,72,15,12.1,TH,1711157473
287,krasnaya gorbatka,55.8703,41.7641,30.16,96,100,9.4,RU,1711157278
288,goulburn,-34.75,149.7167,64.78,75,94,4.0,AU,1711157278
289,happy valley-goose bay,53.3168,-60.3315,25.11,86,100,14.97,CA,1711157474
290,coxim,-18.5067,-54.76,77.54,85,100,2.26,BR,1711157228
291,el calafate,-50.3408,-72.2768,42.75,84,17,5.59,AR,1711157475
292,kasungu,-13.0333,33.4833,62.17,95,91,3.33,MW,1711157279
293,sal rei,16.1833,-22.9167,69.4,73,22,17.87,CV,1711157279
294,nacozari viejo,30.4,-109.65,67.5,21,100,4.12,MX,1711157279
295,villa ojo de agua,-29.5,-63.6938,60.55,53,0,9.26,AR,1711157280
296,cruzeiro do sul,-29.5128,-51.9853,67.08,79,0,1.57,BR,1711157477
297,kudahuvadhoo,2.6708,72.8944,83.66,72,59,7.74,MV,1711157280
298,fale old settlement,-9.3852,-171.2468,85.89,70,99,11.05,TK,1711157181
299,iquique,-20.2208,-70.1431,73.44,82,86,1.83,CL,1711157309
300,usinsk,65.9939,57.5281,-3.15,96,90,9.64,RU,1711157390
301,sechura,-5.5569,-80.8222,77.94,67,100,14.03,PE,1711157479
302,liwale,-9.7667,37.9333,69.44,97,100,4.97,TZ,1711157282
303,dazhou,31.2159,107.5009,70.43,76,81,4.41,CN,1711157480
304,emerald,-23.5333,148.1667,79.34,65,88,16.15,AU,1711157321
305,sarakhs,36.5449,61.1577,58.62,60,100,3.49,IR,1711157283
306,urucara,-2.5364,-57.76,75.97,97,100,4.65,BR,1711157481
307,mejit,10.2753,170.8646,81.28,74,26,18.21,MH,1711157482
308,madimba,-10.4,40.3333,76.84,91,100,7.11,TZ,1711157283
309,parintins,-2.6283,-56.7358,74.71,98,100,6.78,BR,1711157482
310,port elizabeth,-33.918,25.5701,69.1,91,20,12.66,ZA,1711157284
311,renqiu,38.6989,116.0936,62.02,18,23,3.06,CN,1711157285
312,moral de calatrava,38.7919,-3.5786,57.58,42,100,4.5,ES,1711157284
313,dudinka,69.4058,86.1778,-33.32,98,44,5.01,RU,1711157484
